INDEX,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MATE_OCCP_GRP,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH
2293,3063,1,N,2,5,9444,20,N,3,3,Y,8,2,21,2,2003,6,2003,5
2295,3065,1,N,1,5,36250,20,N,1,0,Y,3,3,17,0,2003,6,2003,5
2296,3066,2,,2,5,19305,20,N,3,4,Y,8,2,17,3,2003,6,2015,11
2297,3067,1,N,1,5,13611,20,N,1,1,Y,3,2,21,2,2003,6,2010,8
2298,3068,1,N,2,5,11666,20,N,3,0,Y,6,0,0,0,2003,6,2016,6
2299,3069,1,N,1,5,23333,20,N,10,3,Y,10,1,19,2,2003,6,2005,3
2300,3071,1,N,2,5,8611,20,N,6,8,Y,6,1,27,13,2003,6,2007,2
2302,3073,1,N,2,5,7626,30,N,3,1,Y,8,2,16,3,2003,6,2011,12
2304,3075,1,N,2,5,9437,12,N,1,1,Y,9,0,0,2,2003,6,2002,6
2305,3077,1,N,2,5,29027,20,N,1,0,Y,15,2,19,3,2003,6,2016,5
2307,3079,1,N,1,5,38750,20,N,24,4,Y,3,2,20,8,2003,6,2016,5
2308,3080,1,N,2,5,15277,20,N,3,0,Y,8,1,15,1,2003,6,2003,5
2309,3081,1,N,2,5,26805,20,N,16,7,Y,8,4,11,7,2003,6,2009,2
2310,3082,2,,2,5,1173,13,N,9,0,Y,7,1,26,0,2003,6,2016,6
2311,3083,1,N,1,5,50000,20,N,13,2,Y,3,2,17,2,2003,6,2003,5
2313,3085,1,N,1,5,51111,20,N,17,4,Y,3,2,18,3,2003,6,2016,5
2314,3086,1,N,2,5,15972,20,N,3,6,Y,8,2,19,5,2003,6,2001,11
2315,3087,1,N,2,5,25281,11,N,3,1,Y,8,0,0,3,2003,6,2016,6
2316,3088,2,,2,4,24861,20,N,3,1,Y,2,2,25,3,2003,6,2016,5
2318,3091,1,N,1,4,17361,20,N,10,1,Y,10,0,0,1,2003,6,2008,9
2320,3093,2,,1,4,10277,20,N,1,1,Y,1,0,0,1,2003,6,2003,5
2321,3096,1,Y,1,4,5923,12,N,24,0,Y,3,1,10,1,2003,6,2006,4
2322,3097,1,Y,2,4,15694,20,N,3,6,Y,8,2,20,4,2003,6,2016,6
2326,3102,2,,2,4,41111,20,N,2,4,Y,2,1,17,4,2003,6,2012,6
2327,3103,2,,2,4,15694,20,N,3,2,Y,8,3,18,1,2003,6,2016,6
2328,3104,1,N,2,4,10555,20,N,3,4,Y,5,1,6,6,2003,6,2009,6
2329,3106,1,N,2,4,3472,20,N,2,2,Y,2,1,22,5,2003,6,2004,3
2330,3107,1,N,2,4,8333,20,N,19,1,Y,8,0,0,2,2003,6,2005,2
2331,3109,2,,2,4,17361,20,N,3,2,Y,1,2,23,5,2003,6,2014,12
2332,3110,1,N,2,4,20833,20,N,19,0,Y,1,2,20,0,2003,6,2012,3
2333,3111,1,N,2,4,25000,20,N,3,7,Y,10,3,18,51,2003,6,2010,3
2335,3113,1,N,1,4,19305,20,N,1,5,Y,3,2,11,2,2003,6,2007,3
2336,3114,1,N,2,4,39583,20,N,2,0,Y,8,1,24,1,2003,6,2014,6
2337,3115,1,N,2,4,5518,12,N,9,7,Y,9,2,17,15,2003,6,2013,2
2338,3117,1,N,1,4,16250,30,N,8,2,Y,3,1,20,3,2003,6,2005,2
2339,3118,1,N,2,4,16666,30,N,19,3,Y,8,2,22,4,2003,6,2016,4
2340,3119,1,N,1,4,19444,20,N,1,1,Y,3,2,11,1,2003,6,2003,5
2341,3120,1,N,1,4,11228,40,N,8,3,Y,3,2,15,2,2003,6,2016,6
2342,3121,1,N,2,4,40555,20,N,19,4,Y,17,2,27,4,2003,6,2007,1
2344,3123,1,N,1,4,13750,20,N,8,1,Y,3,1,15,1,2003,6,2005,6
2345,3124,1,N,2,4,7777,30,N,3,0,Y,9,2,15,1,2003,6,2005,5
2346,3125,1,N,2,4,37777,20,N,3,2,Y,1,1,25,2,2003,6,2008,5
2347,3126,1,N,1,4,41805,20,N,1,1,Y,9,2,18,18,2003,4,2015,8
2349,3128,1,N,2,4,13055,30,N,3,1,Y,8,3,13,6,2003,6,2002,1
2352,3131,1,N,2,4,13888,20,N,3,4,Y,1,1,21,4,2003,6,2006,2
2355,3134,1,N,2,4,32222,20,N,15,2,Y,18,2,19,6,2003,6,2006,11
2356,3136,1,N,2,4,10529,11,N,3,3,Y,7,3,15,2,2003,6,1999,4
2357,3137,1,N,1,4,7222,20,N,8,0,Y,15,2,14,1,2003,6,2011,8
2360,3140,1,N,2,4,14861,30,N,3,1,Y,1,2,20,2,2003,6,2003,1
2361,3141,1,N,2,4,61805,20,N,3,4,Y,1,2,22,5,2003,6,2009,1
2362,3142,1,N,1,4,16944,30,N,10,0,Y,3,3,7,1,2003,6,2000,11
2363,3143,1,N,2,4,3888,20,N,24,0,Y,9,1,21,2,2003,6,2010,2
2366,3146,1,N,2,4,5546,13,N,3,9,Y,9,2,23,7,2003,6,2016,6
2367,3148,1,N,2,4,3307,13,N,2,9,Y,6,3,15,16,2003,6,2003,1
2368,3149,1,N,1,4,9246,40,N,2,4,Y,2,2,23,1,2003,6,2003,5
2370,3151,1,N,1,4,23333,20,N,8,10,Y,3,1,17,10,2003,6,2015,9
2371,3152,1,N,2,4,47777,20,N,3,4,Y,1,2,18,5,2003,6,2012,4
2372,3153,1,N,2,4,16568,11,N,2,6,Y,6,2,21,7,2003,6,2003,5
2373,3154,1,N,2,4,33888,20,N,9,3,Y,2,1,17,1,2003,6,2016,6
2376,3157,1,N,1,4,10346,40,N,8,3,Y,9,2,20,5,2003,6,2016,6
2377,3158,2,,2,4,14166,20,N,2,2,Y,2,2,23,2,2003,6,2003,5
2378,3159,1,N,1,4,30138,20,N,2,5,Y,15,1,15,2,2003,6,2015,4
2381,3162,2,,2,4,8460,12,N,9,2,Y,8,2,18,4,2003,6,2015,1
2383,3164,1,N,2,4,8333,20,N,3,5,Y,1,1,20,3,2003,6,2003,5
2384,3165,1,N,2,4,20833,20,N,3,5,Y,12,2,21,10,2003,6,2006,6
2385,3166,1,N,2,4,7361,30,N,3,0,Y,10,3,17,3,2003,6,2007,2
2387,3168,1,Y,2,4,19722,20,N,2,7,Y,8,2,19,15,2003,6,2010,6
2388,3169,1,N,1,4,6111,20,N,18,1,Y,3,1,19,4,2003,6,2005,1
2390,3171,1,N,1,4,11229,12,N,2,11,Y,2,2,17,4,2003,6,2009,10
2391,3172,1,Y,1,4,15555,20,N,2,5,Y,9,3,16,31,2003,6,2013,10
2392,3173,1,N,1,4,26666,20,N,1,8,Y,9,2,20,10,2003,6,2015,8
2394,3175,1,Y,2,4,5833,30,N,3,2,Y,1,3,17,1,2003,3,2016,5
2396,3177,1,N,2,4,5211,12,N,3,1,Y,1,2,12,2,2003,6,2014,8
2397,3178,1,N,2,4,4861,30,N,9,2,Y,6,1,23,1,2003,6,2005,3
2398,3179,1,N,2,4,9093,12,Y,3,2,Y,1,2,17,12,2003,6,2014,2
2399,3180,1,N,1,4,11175,12,N,8,0,Y,3,2,7,1,2003,6,2010,12
2401,3183,1,N,2,4,2992,12,Y,3,4,Y,8,2,21,6,2003,6,2012,7
2403,3185,1,N,2,4,6544,99,N,3,1,Y,16,1,21,3,2003,6,2016,3
2404,3186,1,N,2,4,6250,20,N,8,6,Y,8,1,23,4,2003,6,2003,5
2405,3188,2,,2,4,27629,20,N,5,5,Y,19,2,19,5,2003,6,2015,10
2406,3189,1,N,2,4,11250,20,N,3,1,Y,8,3,12,2,2003,6,2016,4
2407,3190,1,Y,2,4,13472,20,N,3,4,Y,1,2,20,4,2003,6,1999,12
2408,3191,1,N,1,4,19722,20,N,1,5,Y,9,2,22,19,2003,6,2009,1
2409,3192,1,N,2,4,70694,20,N,3,18,Y,15,1,20,11,2003,6,2007,10
2412,3195,1,N,2,4,8611,20,N,3,7,Y,6,2,17,8,2003,6,2016,6
2413,3196,1,N,1,4,28055,20,N,13,0,Y,3,2,16,3,2003,6,2013,3
2414,3197,1,N,2,4,33888,20,N,3,37,Y,1,2,17,30,2003,6,2013,8
2416,3199,1,N,2,4,50000,12,N,3,4,Y,6,0,0,2,2003,6,2005,6
2417,3200,1,N,1,4,6490,12,N,8,2,Y,2,2,17,1,2003,6,2003,4
2418,3201,1,N,2,4,10416,20,N,8,7,Y,8,2,16,4,2003,6,2016,6
2421,3204,1,N,2,4,31250,20,N,3,4,Y,2,3,12,10,2003,6,2003,5
2423,3206,1,N,2,4,20161,11,N,15,1,Y,1,0,0,0,2003,6,2016,6
2424,3207,1,N,2,4,9575,11,N,3,5,Y,7,3,15,13,2003,6,2016,3
2425,3208,1,N,1,4,27222,20,N,10,5,Y,4,2,13,3,2003,6,2004,1
2426,3209,1,N,2,4,17500,20,N,1,1,Y,1,1,22,1,2003,6,2015,3
2428,3211,1,N,1,4,23333,20,N,4,0,Y,4,1,18,0,2003,6,2001,1
2430,3213,1,N,1,4,2678,13,N,2,0,Y,3,1,22,0,2003,6,2003,5
2432,3215,1,N,2,4,8928,40,N,2,2,Y,2,3,10,1,2003,6,2007,3
2433,3216,1,N,2,4,3840,12,N,3,0,Y,8,3,11,2,2003,6,2007,1
2435,3218,1,N,2,4,11434,12,Y,3,5,Y,7,1,16,2,2003,6,2007,7
2436,3219,1,N,2,4,2809,13,Y,19,8,Y,2,2,8,16,2003,6,2010,3
2437,3221,1,N,2,4,10277,20,N,3,3,Y,8,2,13,3,2003,6,2011,7
2438,3223,1,N,1,4,11086,11,N,7,1,Y,3,4,6,1,2003,6,2004,11
2441,3226,1,N,2,4,45555,20,N,4,5,Y,4,0,0,4,2003,6,2010,11
2442,3227,1,N,1,4,19722,20,N,8,2,Y,1,2,11,1,2003,6,2006,7
2443,3228,1,N,2,4,6666,20,N,9,1,Y,9,0,0,3,2003,6,2004,1
2444,3229,1,N,2,4,8472,30,N,3,3,Y,14,2,14,1,2003,6,2003,5
2446,3231,1,N,1,4,1235,12,N,1,0,Y,3,1,11,1,2003,6,2002,1
2449,3234,1,N,1,4,7826,99,N,2,9,Y,2,2,9,10,2003,6,2012,1
2450,3235,1,N,1,4,38333,20,N,8,0,Y,3,2,10,0,2003,6,2002,7
2451,3236,1,N,2,4,23472,20,Y,19,5,Y,12,1,17,7,2003,6,2013,7
2452,3238,1,N,1,4,25921,11,N,1,2,Y,8,3,10,3,2003,6,2006,9
2454,3240,1,N,1,4,11986,12,N,2,1,Y,3,2,14,7,2003,6,2015,1
2455,3241,1,N,1,4,8333,20,N,6,1,Y,9,3,2,3,2003,6,2016,4
2456,3242,1,N,2,4,28466,20,N,19,6,Y,9,2,16,22,2003,6,2015,11
2458,3244,2,,2,4,10277,30,N,19,0,Y,8,1,14,4,2003,6,2008,9
2459,3245,1,N,1,4,31805,20,N,8,3,Y,3,0,0,17,2003,6,2008,4
2460,3246,1,N,2,4,16666,20,N,19,3,Y,1,2,16,9,2003,6,2015,6
2461,3247,1,N,1,4,22222,20,N,1,0,Y,3,1,6,4,2003,6,2010,8
2462,3248,1,N,2,4,7638,20,N,3,3,Y,8,2,10,3,2003,6,2004,1
2465,3251,2,,1,4,8961,12,N,1,3,Y,3,1,15,2,2003,6,2006,12
2467,3253,1,N,2,4,8206,12,N,3,4,Y,8,2,21,7,2003,6,2010,3
2469,3255,1,Y,2,4,8333,30,N,3,6,Y,8,2,17,8,2003,6,2011,8
2470,3256,1,N,1,4,23194,20,N,15,0,Y,1,2,16,0,2003,6,1998,8
2471,3257,1,N,2,4,12979,12,N,9,0,Y,2,1,10,2,2003,6,2010,7
2474,3260,1,N,2,4,32222,20,N,3,6,Y,8,3,15,4,2003,6,2012,10
2476,3262,1,N,1,4,18333,20,N,9,2,Y,1,1,15,1,2003,6,2006,11
2477,3263,1,Y,2,4,14444,30,N,3,1,Y,8,1,16,0,2003,6,2004,2
2479,3266,1,N,2,4,7222,30,N,3,3,Y,8,1,7,6,2003,6,2015,5
2480,3267,1,N,1,4,30555,20,N,6,0,Y,3,1,15,0,2003,6,2005,4
2481,3268,1,N,2,4,20000,20,N,2,3,Y,2,2,12,3,2003,6,2015,12
2482,3269,1,N,2,4,14985,20,Y,9,11,Y,2,2,14,39,2003,6,2016,4
2483,3270,1,N,2,4,21527,20,N,3,2,Y,1,2,15,2,2003,6,2004,4
2484,3271,1,N,2,4,14583,20,N,3,3,Y,2,2,13,8,2003,6,2005,12
2486,3274,1,N,1,4,45555,20,N,14,98,Y,3,1,12,489,2003,6,2010,12
2488,3276,1,N,2,4,11498,20,N,2,3,Y,1,1,7,3,2003,6,1998,2
2489,3277,1,N,2,4,16111,20,N,3,2,Y,8,2,16,1,2003,6,2003,5
2493,3281,1,N,2,4,14444,30,N,2,17,Y,1,0,0,3,2003,6,2004,2
2494,3282,1,N,1,4,17443,20,N,8,0,Y,3,1,17,0,2003,6,1999,10
2497,3286,1,N,2,4,2439,11,N,9,5,Y,6,3,23,10,2003,6,2015,2
2500,3289,1,N,2,4,48711,11,N,3,1,Y,6,3,6,1,2003,6,2014,12
2502,3292,1,N,2,4,24722,20,N,3,4,Y,1,3,21,5,2003,6,2006,3
2503,3293,1,N,2,4,25555,20,N,3,1,Y,9,2,14,3,2003,6,2001,5
2504,3294,1,N,2,4,17777,20,N,3,4,Y,8,2,15,3,2003,6,2004,3
2505,3295,1,N,1,4,9277,12,N,9,8,Y,3,0,0,12,2003,6,2008,8
2506,3296,1,N,2,4,29525,12,N,3,4,Y,6,2,11,14,2003,6,2003,5
2507,3297,1,N,2,4,15138,20,N,3,1,Y,5,1,9,7,2003,6,2010,1
2508,3298,1,N,2,4,26250,20,N,3,6,Y,15,2,11,5,2003,6,2008,7
2509,3299,1,Y,2,4,8888,20,N,3,0,Y,1,2,18,1,2003,6,2005,11
2511,3301,1,N,2,4,14229,30,N,1,1,Y,1,0,0,1,2003,6,2007,5
2512,3302,1,N,2,4,52505,20,N,3,0,Y,10,2,17,0,2003,6,1998,5
2513,3303,1,Y,2,4,27638,20,N,3,5,Y,8,2,13,3,2003,6,2005,9
2514,3304,1,N,2,4,20972,20,N,3,2,Y,6,2,9,3,2003,6,2008,10
2517,3307,1,N,2,4,25833,20,N,3,2,Y,8,0,0,2,2003,6,2007,3
2518,3308,2,,1,4,6972,40,N,6,0,Y,9,1,14,1,2003,6,2003,5
2519,3309,1,N,2,4,4315,12,N,2,1,Y,8,1,9,1,2003,6,2015,11
2520,3310,1,N,2,4,19027,30,Y,9,10,Y,10,3,13,38,2003,6,2014,2
2522,3313,1,Y,1,4,5618,11,N,9,1,Y,9,0,0,1,2003,6,2007,5
2524,3316,1,N,2,4,38333,20,N,9,0,Y,6,2,17,1,2003,6,2006,5
2525,3317,2,,1,4,12928,99,N,8,1,Y,3,1,8,1,2003,6,2003,5
2526,3318,2,,1,4,5348,40,N,2,0,Y,2,3,6,3,2003,6,1999,5
2527,3319,1,N,1,4,47777,20,N,16,1,Y,1,0,0,0,2003,6,2016,6
2528,3320,1,N,1,4,15694,20,N,8,0,Y,8,0,0,1,2003,6,2003,2
2531,3323,2,,2,4,28888,20,N,3,6,Y,1,2,16,4,2003,6,2007,3
2535,3327,1,N,1,4,34305,20,N,1,3,Y,4,2,9,27,2003,6,2010,11
2536,3328,1,N,2,4,24166,20,N,3,2,Y,5,2,10,1,2003,6,2007,8
2537,3329,1,N,2,4,33026,11,N,9,0,Y,18,1,12,3,2003,6,2008,12
2538,3330,1,N,1,4,23619,40,N,9,0,Y,9,1,17,2,2003,6,2012,5
2539,3331,1,N,2,4,9207,40,Y,3,10,Y,1,3,14,21,2003,6,2007,2
2540,3332,1,N,2,4,10138,20,N,3,0,Y,9,1,9,1,2003,6,2013,1
2542,3334,1,N,2,4,19790,40,N,3,1,Y,9,3,13,0,2003,6,2003,5
2543,3335,1,N,1,4,17916,20,N,9,0,Y,3,2,7,1,2003,6,2003,5
2545,3337,2,,2,4,18333,30,N,19,11,Y,8,2,14,12,2003,6,2016,3
2546,3339,1,N,2,4,22777,20,N,3,1,Y,1,1,11,2,2003,6,2006,4
2556,3349,1,N,2,4,33472,20,N,3,0,Y,1,0,0,0,2003,6,2016,6
2558,3351,1,N,2,4,23888,20,N,3,1,Y,1,1,22,1,2003,6,2006,2
2561,3354,1,N,1,4,32777,20,N,8,4,Y,9,0,0,3,2003,6,2006,5
2563,3356,1,N,2,4,33750,20,N,3,5,Y,1,1,17,5,2003,6,2007,2
2566,3359,1,N,2,4,4861,30,N,3,0,Y,9,1,16,1,2003,6,2015,11
2569,3362,2,,2,4,19328,12,N,3,6,Y,1,2,7,5,2003,6,2013,1
2570,3363,1,Y,1,4,24822,11,N,1,1,Y,9,2,8,1,2003,6,2004,7
2571,3364,1,N,2,4,28472,20,N,3,1,Y,15,1,12,4,2003,6,2003,5
2573,3366,1,N,2,4,8308,13,N,3,1,Y,9,0,0,1,2003,6,2004,8
2575,3368,1,N,2,4,14027,20,N,2,1,Y,2,0,0,4,2003,6,2008,12
2578,3372,1,N,2,4,12222,20,N,2,12,Y,8,2,5,16,2003,6,2012,7
2581,3377,1,N,2,4,7445,12,Y,3,2,Y,8,2,4,4,2003,6,2011,2
2582,3378,1,Y,2,4,6869,12,N,3,0,Y,2,2,5,0,2003,6,2012,2
2584,3380,1,N,2,4,38888,20,N,1,0,Y,13,0,0,0,2003,6,2003,5
2585,3381,1,N,1,4,26527,20,N,2,1,Y,3,2,6,11,2003,6,2012,1
2587,3383,2,,2,4,36944,20,N,4,2,Y,4,2,6,3,2003,6,2015,8
2590,3388,1,N,2,3,52083,20,N,3,4,Y,7,1,6,10,2003,6,2015,3
2592,3390,1,N,2,3,2889,12,N,2,0,Y,2,2,11,1,2003,6,2011,11
2593,3391,1,N,1,3,29305,20,N,8,4,Y,24,2,13,18,2003,6,2009,2
2595,3393,1,N,2,3,17222,20,N,19,1,Y,9,1,9,3,2003,6,2013,7
2596,3394,1,N,2,3,11527,20,N,18,1,Y,1,1,11,1,2003,6,2006,6
2597,3395,1,N,2,3,8178,12,N,3,3,Y,6,3,10,4,2003,6,2007,9
2600,3398,1,Y,2,3,9027,20,Y,3,0,Y,1,2,8,3,2003,6,2011,8
2602,3401,2,,2,3,37777,20,N,4,3,Y,4,2,5,4,2003,6,2014,11
2606,3405,1,N,2,3,9732,12,N,3,3,Y,1,2,8,5,2003,6,2016,1
2607,3406,1,N,2,3,9891,99,N,24,2,Y,1,2,8,2,2003,6,2014,1
2608,3407,1,N,2,3,7562,40,N,19,1,Y,6,0,0,7,2003,6,2015,9
2611,3410,1,N,2,3,7337,11,N,3,1,Y,2,2,10,3,2003,6,2015,1
2612,3411,1,N,2,3,13333,20,N,3,1,Y,1,1,7,2,2003,6,2010,11
2613,3413,1,N,2,3,4722,20,N,24,1,Y,1,1,10,4,2003,6,2006,7
2616,3418,1,Y,1,3,9484,11,N,2,0,Y,3,3,10,1,2003,6,2003,6
2618,3421,2,,2,3,11527,30,N,15,0,Y,9,0,0,0,2003,6,2015,4
2620,3424,1,Y,2,3,14583,20,N,2,0,Y,1,1,14,2,2003,6,2000,12
2621,3425,1,N,2,3,13692,11,N,3,0,Y,18,1,10,0,2003,6,2007,9
2625,3430,1,N,2,3,27222,20,N,24,0,Y,9,1,9,0,2003,6,2003,5
2626,3431,1,N,1,3,3530,40,N,6,0,Y,2,2,11,0,2003,6,2001,11
2627,3432,1,N,2,3,15270,99,N,24,4,Y,12,2,14,6,2003,6,2011,1
2628,3434,1,N,2,3,12083,20,Y,9,3,Y,8,1,9,7,2003,6,2015,8
2630,3436,2,,1,3,12777,30,N,8,0,Y,3,1,9,2,2003,6,2014,2
2631,3437,1,N,2,3,16352,12,N,3,1,Y,8,0,0,4,2003,6,2002,11
2634,3440,2,,1,3,9583,30,N,1,0,Y,3,1,10,1,2003,6,2010,5
2636,3443,1,N,2,3,29444,20,N,24,1,Y,5,0,0,1,2003,6,2006,2
2639,3446,1,N,1,3,0,20,N,2,5,Y,3,0,0,5,2003,6,2013,12
2640,3447,1,N,2,3,16944,20,N,3,2,Y,6,1,9,2,2003,6,2003,10
2642,3450,1,N,2,3,47638,20,N,3,2,Y,1,2,7,4,2003,6,2013,7
2644,3453,1,N,1,3,38888,20,N,2,27,Y,1,2,6,29,2003,6,2012,9
2649,3462,1,N,2,3,7777,30,N,24,2,Y,9,0,0,3,2003,6,2009,1
2656,3470,1,N,1,3,1171,12,N,8,0,Y,3,1,6,0,2003,6,2016,6
2658,3474,1,N,2,3,2504,11,N,3,0,Y,8,1,8,0,2003,6,2003,5
2659,3477,1,N,2,3,8333,20,N,24,2,Y,10,1,9,1,2003,6,2008,2
2666,3487,2,,2,3,17083,20,N,9,7,Y,12,0,0,22,2003,6,2010,8
2667,3489,1,N,2,3,16805,20,N,3,2,Y,1,1,9,1,2003,6,2009,5
2671,3495,1,N,2,3,24444,30,N,3,1,Y,5,2,4,4,2003,6,2015,12
2672,3496,1,N,2,3,37222,20,N,3,1,Y,1,0,0,1,2003,6,2005,2
2683,3511,1,N,1,3,30416,30,N,15,0,Y,3,1,6,1,2003,6,1999,5
2686,3516,1,N,2,3,22361,20,N,8,5,Y,8,1,9,10,2003,6,2014,10
2708,3546,1,N,2,3,22638,20,N,1,1,Y,2,1,8,4,2003,6,2010,7
2714,3554,1,N,2,3,12905,12,N,18,1,Y,16,0,0,3,2003,6,2015,4
2716,3559,1,N,1,3,40277,20,N,1,15,Y,3,1,3,10,2003,6,2015,5
2718,3562,1,N,2,3,8719,50,N,1,3,Y,1,0,0,15,2003,6,2014,3
2724,3574,1,N,2,3,13472,20,N,3,0,Y,15,1,3,1,2003,6,2013,8
2726,3576,1,N,2,3,62222,20,N,3,1,Y,1,1,5,3,2003,6,2016,5
2762,3746,1,N,2,7,37500,20,N,25,22,Y,25,0,0,15,2001,6,2012,8
2763,3747,1,N,2,6,7916,20,N,25,5,Y,25,1,16,17,2000,3,2008,6
2766,3751,1,N,1,6,2041,11,N,7,6,Y,3,0,0,5,2002,2,2016,6
2767,3752,1,N,1,6,11527,20,N,6,3,Y,2,1,29,3,1,1,2008,8
2768,3754,1,N,1,6,10102,40,N,24,5,Y,3,3,18,7,2001,2,2015,3
2769,3755,1,N,2,6,17083,20,N,3,4,Y,6,0,0,3,2000,4,2009,9
2770,3756,1,N,2,6,5416,20,N,12,2,Y,12,1,35,3,2003,6,2014,5
2774,3760,1,N,2,5,7180,11,N,2,1,Y,8,2,27,6,2000,11,2014,7
2775,3761,2,,2,5,24193,11,N,3,0,Y,6,0,0,1,1999,3,2010,4
2777,3764,1,N,1,5,14456,99,N,22,17,Y,3,2,24,22,2000,11,2013,3
2782,3770,1,N,2,5,6607,99,N,2,1,Y,2,2,32,1,2001,9,2007,5
2783,3771,1,N,1,5,20565,99,N,9,4,Y,3,2,25,8,1,1,2016,6
2784,3773,1,N,2,5,7562,99,N,3,2,Y,7,2,33,2,2000,10,2014,6
2785,3774,1,N,1,5,13430,40,N,8,1,Y,3,1,19,35,1997,10,2006,6
2791,3782,1,N,2,5,27361,20,N,2,1,Y,2,0,0,0,2003,4,2003,7
2792,3783,1,Y,2,5,9027,20,N,3,2,Y,6,1,13,3,2001,2,2005,3
2793,3785,1,Y,1,5,16399,30,N,1,0,Y,9,2,29,0,2001,4,2016,6
2794,3786,1,Y,1,5,9027,20,N,9,0,Y,3,0,0,0,2003,2,2016,6
2795,3787,1,N,2,5,12308,40,N,15,2,Y,8,1,29,3,1999,11,2009,4
2796,3789,1,N,2,5,5398,13,N,1,1,Y,1,1,23,1,2001,6,2004,9
2797,3790,1,N,2,5,20833,20,Y,5,12,Y,1,2,14,12,1999,3,2010,7
2798,3791,1,N,2,5,31805,20,N,3,1,Y,8,0,0,1,2001,6,2015,11
2800,3795,1,N,2,5,10277,30,N,8,3,Y,8,1,25,6,2000,6,2012,12
2801,3796,1,N,1,5,18055,20,N,8,8,Y,3,2,14,6,2003,6,2006,1
2804,3799,1,N,2,5,19444,20,N,3,0,Y,10,2,19,0,1997,2,2006,1
2805,3800,1,Y,2,4,7222,20,N,9,0,Y,9,3,23,0,2001,6,2016,5
2806,3801,1,N,2,4,10225,40,N,2,1,Y,1,1,26,5,2000,4,2012,9
2807,3802,1,N,1,4,9027,30,N,8,2,Y,3,2,17,2,2003,6,2011,8
2808,3803,1,N,1,4,6250,20,N,2,0,Y,2,1,22,0,2000,5,2005,9
2810,3806,1,N,1,4,20972,20,N,8,2,Y,3,3,11,4,1995,2,2013,12
2811,3807,1,N,1,4,12222,20,N,2,1,Y,9,2,18,106,1996,10,2013,6
2812,3808,1,N,2,4,15676,12,N,3,11,Y,1,2,16,26,2001,8,2013,12
2813,3809,1,N,1,4,14722,20,N,1,0,Y,3,2,19,1,2000,7,2012,5
2814,3810,1,N,1,4,10833,20,N,6,5,Y,1,4,16,6,2001,6,2014,12
2815,3812,1,N,2,4,16626,20,N,9,5,Y,1,2,18,10,1999,12,2015,8
2817,3814,1,N,2,4,29838,20,N,3,5,Y,10,1,15,7,2000,7,2016,5
2818,3817,1,N,1,4,2512,11,N,8,0,Y,9,0,0,1,2001,4,2015,10
2819,3818,1,N,2,4,16111,20,N,3,0,Y,13,0,0,0,1999,6,2016,5
2820,3819,1,N,2,4,45694,20,N,2,4,Y,10,3,12,14,1,1,2016,4
2821,3821,1,N,1,4,30416,20,N,18,0,Y,3,2,11,1,2001,3,2016,6
2822,3823,1,Y,1,4,16211,12,N,2,0,Y,3,1,10,1,1,1,2008,6
2824,3827,1,N,2,4,17777,20,N,3,1,Y,15,1,14,4,2003,6,2009,9
2825,3828,1,N,1,4,12777,20,N,8,2,Y,3,1,12,1,2003,6,2004,7
2826,3829,2,,2,4,22916,20,N,9,3,Y,2,1,15,5,1,1,2013,12
2829,3833,1,N,2,4,22638,20,N,1,1,Y,1,1,13,3,2000,2,2012,7
2830,3835,2,,2,4,13620,20,N,3,0,Y,9,1,10,1,2000,2,2008,3
2831,3836,2,,1,4,61388,20,N,2,2,Y,2,0,0,2,2003,4,2008,1
2832,3837,1,N,1,4,17916,20,N,15,1,Y,18,0,0,6,1,1,2008,8
2833,3838,1,N,1,4,11776,12,N,2,4,Y,2,1,21,7,1999,5,2007,8
2834,3839,1,N,2,3,10777,12,N,3,1,Y,2,1,13,3,2000,7,2006,6
2839,3844,2,,2,3,7083,20,N,3,0,Y,1,0,0,3,2002,1,2015,12
2840,3847,1,N,2,3,29838,20,N,4,0,Y,8,1,5,0,2001,5,2014,12
2841,3848,1,N,2,3,5416,20,N,9,0,Y,8,0,0,0,2001,5,2011,3
2842,3849,2,,2,3,32500,20,N,9,1,Y,2,0,0,3,2002,11,2012,9
2844,3851,1,N,1,3,10333,12,N,1,0,Y,3,1,7,0,2001,7,2016,6
2845,3852,1,Y,2,3,7581,30,N,8,1,Y,8,2,6,2,1,1,2012,7
2847,3855,2,,1,3,15833,20,N,15,1,Y,18,0,0,1,2003,3,2010,1
2849,3858,1,N,2,3,21111,20,Y,3,0,Y,13,1,9,0,1999,1,2010,6
2853,3862,1,N,2,3,1995,12,Y,3,0,Y,8,3,10,1,2003,6,2008,10
2860,3871,1,N,1,3,11409,40,N,8,0,Y,2,1,12,1,2002,11,2009,1
2868,3899,1,N,2,3,9583,30,N,3,6,Y,8,2,6,6,2003,6,2007,3
2869,3901,1,N,1,5,11463,11,N,7,0,Y,3,0,0,0,2003,6,2008,3
2870,3902,2,,2,4,19166,20,N,3,1,Y,2,1,14,1,2003,6,2011,6
2871,3905,2,,1,4,0,12,N,8,2,Y,3,1,16,1,2003,6,2004,10
